time,open,high,low,close,volume
2023-01-01,100.83294145186524,100.74119615798404,100.38651634002096,100.31140896115755,217
2023-01-02,99.71178469578403,100.12279233862027,99.27381769070776,99.73373533534533,987
2023-01-03,99.44524522342185,99.886975498348,98.63605463484497,99.84054861989826,158
2023-01-04,100.77934704646981,101.07463185572229,99.9838068908134,100.61964483111251,132
2023-01-05,100.89104087107397,100.98646041972431,100.18924088488124,100.81065235139523,417
2023-01-06,99.88305261156826,100.19362445470561,98.79681625912086,99.41453404235507,149
2023-01-07,100.43874146571044,100.84872273290935,100.04553981986503,100.7121097323573,979
2023-01-08,100.03404874356576,100.54297662534054,99.4556641110372,99.95888241787469,588
2023-01-09,101.81993091159626,102.88324156268585,101.59195540782274,101.83855042107157,118
2023-01-10,102.88446859220637,103.46459617613323,102.71168766565592,103.41273390090511,825
2023-01-11,102.6787973806107,102.7950936942425,102.17799696883753,103.08507179969449,296
2023-01-12,104.1747602011172,104.62496671615085,103.44139067309311,104.06208284737913,990
2023-01-13,104.26416262615083,105.070214998054,103.87791232619048,103.97671508078216,549
2023-01-14,105.16431255020173,106.19446623702062,104.89283459914678,105.50429948414389,658
2023-01-15,105.60626607073661,106.14161964458049,105.38742397169966,105.75060359831897,778
2023-01-16,105.12455179395437,105.7405127531274,104.52093155869427,105.29929802831265,551
2023-01-17,104.29667900135644,105.00456098480662,104.38639403938934,104.20360231262026,388
2023-01-18,105.87959508648171,106.20639422288298,105.68682008437125,105.90610336140367,240
2023-01-19,105.50929651222417,106.52167723104067,105.10291593153558,105.25057417578111,183
2023-01-20,104.89764979850227,105.38856603271623,104.9333025835781,105.33531292220857,793
2023-01-21,104.27219570363593,104.88478545134483,103.93566555857537,104.33689213261319,490
2023-01-22,104.70720530352125,105.45117521899245,104.38719264840286,104.66684870076004,690
2023-01-23,107.08399640596636,107.7373187688704,106.61081118568713,106.93875424129716,314
2023-01-24,106.32071867883288,106.57222522032242,105.26213508273409,106.18989228101958,625
2023-01-25,105.80181355237185,106.73845815420182,105.61149909338054,106.19802693692405,314
2023-01-26,107.71207381754591,108.11073888823206,107.12897372979427,107.80595119781093,502
2023-01-27,107.67740065135739,108.26325259871975,107.08498578166204,108.10471532737382,227
2023-01-28,108.39606702201054,108.69316055162096,107.9895656302766,107.94895068437825,921
2023-01-29,107.34204480422112,107.92371985654479,106.59158312108953,107.6228479935673,576
2023-01-30,107.67731870943345,108.2537905085725,107.3428654330883,107.84858376328586,859
2023-01-31,107.67675752364335,108.3159883895571,107.10647218732842,107.56081150111204,503
2023-02-01,108.66709313509584,109.32044574371955,108.54066975306456,108.56023558130873,128
2023-02-02,110.32888578574101,110.83889440817572,109.9244361112245,110.07586027986588,891
2023-02-03,112.80751032977429,113.2929692553222,112.1396700684349,112.9875780224248,437
2023-02-04,113.86311931040407,113.6282746796121,112.90759926803398,113.45737134917796,930
2023-02-05,113.89654532707272,114.66106178997843,113.58908780070715,114.2109084758851,813
2023-02-06,114.06138043803088,114.52191533124045,113.87699440766792,113.91282665340266,460
2023-02-07,113.64715262007972,114.31914223087253,113.22480854171934,113.94747770903308,668
2023-02-08,114.0277514068128,114.76924708325528,114.12626172063744,114.13790065318136,491
2023-02-09,113.87615074332386,114.96786555055913,113.36444334127377,114.26570430844995,317
2023-02-10,114.51486423839687,114.53430406539883,114.14156305512414,114.63881638621403,673
2023-02-11,115.98078144844852,117.00658615053453,115.25135805868085,115.79488408506633,768
2023-02-12,114.65625573811646,115.6837052403361,114.53821757367268,114.45165110719745,301
2023-02-13,116.39138010246715,116.75702022247776,115.59173495343546,116.25216206901123,116
2023-02-14,117.5328752966551,118.11850870686854,117.23831030741464,117.7168352173385,421
2023-02-15,117.64077758239782,118.16852979497224,117.14397756121517,117.69227793099304,617
2023-02-16,115.91200820664321,116.19378856666799,115.08138024591298,115.83672051935655,669
